~~~~~~~STARTING~~~~~~~~
Lambda = 65.00, Ts = 0.015, SimTime = 100.00

wAvg = 2, qAvg = 2
Arrival      Tw      Start       End        Tq
57.736     0.033    57.769     57.773     0.038
57.756     0.023    57.779     57.794     0.039
57.769     0.026    57.794     57.795     0.027
57.779     0.019    57.798     57.811     0.031
57.798     0.020    57.818     57.834     0.036
57.818     0.022    57.841     57.841     0.023
57.841     0.000    57.841     57.842     0.001
57.845     0.075    57.920     57.924     0.079
57.866     0.058    57.924     57.924     0.058
57.876     0.047    57.924     57.931     0.055
57.950     0.000    57.950     57.955     0.005
57.974     0.015    57.990     57.990     0.015
57.978     0.013    57.991     58.005     0.027
57.980     0.071    58.051     58.057     0.077
57.990     0.078    58.068     58.070     0.081
58.006     0.070    58.076     58.079     0.072
58.068     0.035    58.103     58.122     0.054
58.072     0.050    58.122     58.122     0.050
58.089     0.039    58.128     58.128     0.039
58.128     0.001    58.128     58.131     0.003
58.150     0.000    58.150     58.167     0.017
58.179     0.015    58.194     58.199     0.020
58.184     0.032    58.216     58.219     0.036
58.194     0.042    58.236     58.244     0.050
58.206     0.038    58.244     58.245     0.039
58.226     0.038    58.264     58.273     0.047
58.256     0.017    58.273     58.274     0.018
58.264     0.010    58.274     58.278     0.014
58.295     0.000    58.295     58.301     0.007
58.315     0.000    58.315     58.316     0.001
58.340     0.000    58.340     58.343     0.003
58.344     0.005    58.350     58.351     0.007
58.349     0.012    58.361     58.375     0.025
58.350     0.025    58.375     58.375     0.025
58.361     0.014    58.375     58.380     0.019
58.400     0.000    58.400     58.402     0.003
58.419     0.000    58.419     58.422     0.003
58.440     0.024    58.464     58.464     0.024
58.452     0.013    58.465     58.482     0.030
58.458     0.051    58.509     58.517     0.059
58.465     0.145    58.610     58.620     0.155
58.509     0.111    58.620     58.622     0.114
58.524     0.098    58.622     58.624     0.100
58.650     0.000    58.650     58.666     0.017
58.676     0.003    58.679     58.701     0.025
58.676     0.024    58.701     58.704     0.028
58.679     0.053    58.732     58.750     0.071
58.718     0.032    58.750     58.752     0.034
58.732     0.020    58.752     58.753     0.020
58.757     0.004    58.761     58.779     0.021
58.761     0.022    58.783     58.784     0.023
58.783     0.006    58.789     58.797     0.014
58.789     0.030    58.820     58.823     0.034
58.820     0.004    58.823     58.827     0.007
58.828     0.008    58.837     58.859     0.031
58.829     0.031    58.859     58.870     0.041
58.832     0.038    58.870     58.881     0.049
58.891     0.019    58.909     58.909     0.019
58.896     0.015    58.910     58.919     0.024
58.909     0.023    58.932     58.933     0.024
58.910     0.022    58.933     58.944     0.034
58.921     0.023    58.944     58.974     0.053
58.976     0.000    58.976     59.022     0.046
59.027     0.020    59.046     59.060     0.033
59.029     0.031    59.060     59.071     0.042
59.046     0.025    59.071     59.075     0.029
59.071     0.004    59.075     59.078     0.007
59.084     0.011    59.094     59.109     0.025
59.094     0.017    59.112     59.113     0.019
59.112     0.001    59.113     59.124     0.013
59.130     0.006    59.136     59.141     0.011
59.130     0.048    59.178     59.180     0.049
59.136     0.043    59.180     59.187     0.051
59.143     0.063    59.206     59.210     0.067
59.190     0.045    59.236     59.242     0.052
59.205     0.037    59.242     59.264     0.059
59.227     0.037    59.264     59.265     0.038
59.279     0.018    59.297     59.309     0.030
59.289     0.020    59.309     59.319     0.030
59.297     0.022    59.319     59.322     0.026
59.331     0.000    59.331     59.331     0.000
59.342     0.027    59.369     59.382     0.040
59.353     0.046    59.399     59.400     0.048
59.358     0.042    59.400     59.401     0.042
59.399     0.045    59.444     59.452     0.053
59.414     0.042    59.455     59.458     0.044
59.424     0.033    59.458     59.462     0.038
59.455     0.013    59.468     59.468     0.013
59.468     0.015    59.483     59.485     0.017
59.483     0.020    59.503     59.511     0.028
59.503     0.008    59.511     59.517     0.015
59.536     0.007    59.543     59.571     0.034
59.543     0.028    59.571     59.589     0.046
59.594     0.000    59.594     59.629     0.035
59.641     0.006    59.646     59.653     0.012
59.646     0.006    59.653     59.657     0.011
59.705     0.039    59.744     59.751     0.046
59.722     0.031    59.753     59.755     0.033
59.722     0.033    59.755     59.757     0.035
59.753     0.004    59.757     59.777     0.024
59.777     0.006    59.783     59.785     0.008
59.783     0.031    59.814     59.826     0.042
59.801     0.048    59.849     59.850     0.049
59.814     0.035    59.850     59.870     0.055
59.846     0.024    59.870     59.871     0.025
59.955     0.000    59.955     59.960     0.005
59.968     0.016    59.983     59.987     0.020
59.983     0.004    59.987     59.991     0.008
60.027     0.000    60.027     60.032     0.005
60.037     0.000    60.037     60.043     0.006
60.043     0.000    60.043     60.061     0.017
60.064     0.082    60.146     60.156     0.092
60.080     0.092    60.172     60.181     0.101
60.097     0.096    60.193     60.204     0.108
60.172     0.032    60.205     60.213     0.041
60.193     0.021    60.213     60.220     0.028
60.205     0.016    60.220     60.244     0.039
60.213     0.036    60.249     60.255     0.042
60.248     0.011    60.258     60.271     0.024
60.249     0.028    60.276     60.296     0.048
60.258     0.038    60.296     60.297     0.038
60.275     0.021    60.297     60.298     0.023
60.299     0.000    60.299     60.299     0.000
60.303     0.024    60.327     60.334     0.031
60.310     0.024    60.334     60.342     0.033
60.319     0.023    60.342     60.345     0.026
60.385     0.069    60.454     60.458     0.073
60.397     0.061    60.458     60.461     0.064
60.419     0.105    60.524     60.550     0.131
60.479     0.071    60.550     60.552     0.074
60.500     0.060    60.559     60.568     0.068
60.559     0.052    60.612     60.618     0.058
60.575     0.058    60.633     60.635     0.060
60.591     0.044    60.635     60.637     0.046
60.618     0.020    60.638     60.665     0.047
60.638     0.028    60.665     60.684     0.046
60.692     0.006    60.698     60.704     0.012
60.698     0.012    60.710     60.713     0.014
60.710     0.002    60.713     60.725     0.015
60.734     0.000    60.734     60.735     0.001
60.746     0.032    60.778     60.778     0.032
60.778     0.001    60.779     60.790     0.013
60.779     0.011    60.790     60.792     0.014
60.795     0.032    60.826     60.833     0.038
60.800     0.038    60.838     60.840     0.039
60.826     0.014    60.840     60.840     0.014
60.838     0.045    60.882     60.884     0.046
60.841     0.043    60.884     60.888     0.047
60.866     0.028    60.893     60.899     0.033
60.893     0.005    60.899     60.899     0.005
60.910     0.017    60.927     60.944     0.034
60.927     0.018    60.944     60.961     0.034
61.018     0.006    61.023     61.026     0.008
61.021     0.007    61.028     61.029     0.008
61.023     0.006    61.029     61.032     0.009
61.028     0.010    61.038     61.041     0.012
61.038     0.010    61.048     61.062     0.025
61.038     0.024    61.062     61.065     0.027
61.048     0.032    61.080     61.092     0.044
61.075     0.017    61.092     61.092     0.017
61.080     0.012    61.092     61.093     0.013
61.092     0.001    61.093     61.115     0.023
61.122     0.000    61.122     61.122     0.000
61.126     0.000    61.126     61.135     0.009
61.139     0.000    61.139     61.140     0.001
61.152     0.022    61.174     61.190     0.038
61.164     0.057    61.222     61.232     0.067
61.174     0.058    61.232     61.234     0.060
61.201     0.036    61.237     61.239     0.038
61.237     0.004    61.241     61.247     0.010
61.241     0.006    61.247     61.252     0.011
61.260     0.004    61.264     61.272     0.011
61.264     0.076    61.341     61.345     0.081
61.282     0.063    61.345     61.346     0.064
61.299     0.047    61.346     61.352     0.053
61.383     0.000    61.383     61.389     0.005
61.400     0.000    61.400     61.407     0.007
61.437     0.000    61.437     61.441     0.004
61.442     0.002    61.443     61.481     0.039
61.443     0.042    61.485     61.486     0.042
61.485     0.021    61.506     61.507     0.022
61.506     0.007    61.513     61.516     0.010
61.513     0.002    61.516     61.547     0.033
61.601     0.000    61.601     61.620     0.019
61.625     0.000    61.625     61.634     0.009
61.670     0.000    61.670     61.671     0.002
61.692     0.005    61.696     61.716     0.024
61.693     0.032    61.725     61.729     0.036
61.696     0.045    61.742     61.749     0.053
61.720     0.029    61.749     61.753     0.033
61.742     0.020    61.762     61.763     0.021
61.762     0.009    61.772     61.779     0.017
61.765     0.018    61.783     61.796     0.030
61.772     0.024    61.796     61.799     0.027
61.783     0.020    61.804     61.812     0.028
61.804     0.030    61.834     61.835     0.031
61.813     0.026    61.839     61.845     0.032
61.831     0.014    61.845     61.846     0.015
61.839     0.007    61.846     61.862     0.023
61.863     0.000    61.863     61.864     0.001
61.863     0.009    61.872     61.874     0.011
61.872     0.006    61.879     61.880     0.007
Tw(avg) = 0.022, Tq(avg) = 0.030
