~~~~~~~~~~~~~~~~~~~~~STARTING~~~~~~~~~~~~~~~~~~~~
Lambda = 50.00, Ts = 0.015, SimTime = 100.00

wAvg = 0, qAvg = 0
Arrival      Tw      Start       End        Tq
60.760     0.000    60.760     60.775     0.015
60.810     0.007    60.817     60.825     0.015
60.812     0.016    60.827     60.840     0.028
60.817     0.023    60.840     60.855     0.038
60.827     0.028    60.855     60.870     0.043
60.879     0.000    60.879     60.894     0.015
60.894     0.013    60.907     60.909     0.015
60.907     0.002    60.909     60.924     0.017
60.926     0.000    60.926     60.941     0.015
61.017     0.000    61.017     61.032     0.015
61.105     0.000    61.105     61.120     0.015
61.123     0.000    61.123     61.138     0.015
61.157     0.000    61.157     61.172     0.015
61.243     0.000    61.243     61.258     0.015
61.270     0.005    61.274     61.285     0.015
61.274     0.010    61.285     61.300     0.025
61.302     0.000    61.302     61.317     0.015
61.322     0.007    61.330     61.337     0.015
61.325     0.013    61.337     61.352     0.028
61.330     0.032    61.361     61.367     0.038
61.361     0.007    61.368     61.382     0.021
61.368     0.021    61.389     61.397     0.029
61.384     0.014    61.397     61.412     0.029
61.389     0.023    61.412     61.427     0.038
61.434     0.000    61.434     61.449     0.015
61.484     0.000    61.484     61.499     0.015
61.523     0.000    61.523     61.538     0.015
61.539     0.005    61.544     61.554     0.015
61.544     0.018    61.562     61.569     0.025
61.554     0.025    61.579     61.584     0.030
61.562     0.022    61.584     61.599     0.037
61.573     0.040    61.613     61.614     0.041
61.602     0.020    61.622     61.629     0.027
61.605     0.024    61.629     61.644     0.039
61.622     0.027    61.649     61.659     0.037
61.649     0.010    61.659     61.674     0.025
61.687     0.002    61.689     61.702     0.015
Tw(avg) = 0.013, Tq(avg) = 0.024
